Contrato,Idade,Sexo,Valor_Renda,UF_Cliente,Perc_Juros,Prazo_Emprestimo,Data_Contratacao,Prazo_Restante,VL_Emprestimo,VL_Emprestimo_ComJuros,QT_Total_Parcelas_Pagas,QT_Total_Parcelas_Pagas_EmDia,QT_Total_Parcelas_Pagas_EmAtraso,Qt_Renegociacao,Estado_Civil,Escolaridade,Possui_Patrimonio,VL_Patrimonio,QT_Parcelas_Atraso,QT_Dias_Atraso,Saldo_Devedor,Total_Pago,Possivel_Fraude
322076613715,42,M,3000.00,BA,16.0000,80,2022-09-09,74,60000.00,69000.00,14,13,0,1,CASADO (A),NULL,N,0.00,0,NULL,57915.03,12490.98,Nao
322076614715,40,F,4780.00,PR,18.0000,70,2022-09-09,60,28000.00,32200.00,14,10,0,2,DIVORCIADO,NULL,S,0.00,0,NULL,22371.10,11185.95,Nao
322076615715,39,M,17000.00,SP,25.0000,80,2022-09-09,71,19000.00,21850.00,13,2,8,2,DIVORCIADO,Nenhum,N,0.00,1,11,20144.98,4091.17,Nao
322076617715,84,M,5000.00,SP,23.0000,200,2022-09-09,193,80000.00,92000.00,1,1,0,0,VIÚVO(A),NULL,N,0.00,12,344,98941.72,496.00,Sim
322076618715,32,F,3000.00,SP,21.0000,80,2022-09-20,74,40000.00,46000.00,6,1,4,1,OUTRO,NULL,N,0.00,8,225,46044.91,2933.12,Sim
322076620715,49,M,3500.00,SP,21.0000,40,2022-09-09,29,9000.00,10350.00,14,3,10,0,CASADO (A),Nenhum,N,0.00,0,NULL,7195.33,3993.18,Nao
322076622715,60,M,2800.00,MG,18.0000,40,2022-09-12,27,30000.00,34500.00,12,1,6,3,SOLTEIRO(A),NULL,N,0.00,0,NULL,14930.67,21298.70,Nao
322076624715,20,F,2500.00,AL,18.0000,30,2022-09-09,19,19000.00,21850.00,4,1,2,0,SOLTEIRO(A),NULL,N,0.00,10,284,20103.34,3088.17,Sim
322076625715,44,M,9000.00,SP,19.0000,190,2022-09-20,225,320000.00,368000.00,14,7,0,3,SOLTEIRO(A),Nenhum,N,0.00,0,NULL,277356.51,106695.29,Nao
322076630715,23,F,3000.00,MS,18.0000,100,2022-09-21,89,70000.00,80500.00,2,0,2,2,SOLTEIRO(A),NULL,N,0.00,12,344,82312.77,1315.93,Sim
322076634715,41,M,2500.00,MG,18.0000,80,2022-09-16,74,40000.00,46000.00,3,2,1,0,CASADO (A),NULL,N,0.00,11,315,46168.11,1809.00,Sim
322076635715,67,F,1212.00,MG,23.0000,60,2022-09-09,51,8000.00,9200.00,13,13,0,0,CASADO (A),NULL,N,0.00,0,NULL,7833.34,2196.18,Nao
322076638715,37,M,2500.00,BA,14.4000,60,2022-09-09,91,40000.00,46000.00,14,14,0,0,UNIÃO ESTAVEL,NULL,N,0.00,0,NULL,35388.97,10806.51,Nao
322076640715,36,M,2100.00,SP,24.0000,36,2022-09-09,23,5000.00,5750.00,12,6,3,3,OUTRO,NULL,N,0.00,0,NULL,2566.76,3874.21,Nao
322076641715,25,M,2200.00,CE,24.0000,36,2022-09-12,23,4000.00,4600.00,11,2,9,2,SOLTEIRO(A),Nenhum,N,0.00,1,11,2958.93,2201.13,Nao
322076646715,43,M,3000.00,SC,18.0000,100,2022-09-09,89,70000.00,80500.00,1,1,0,1,CASADO (A),Nenhum,N,0.00,13,376,83173.95,671.99,Sim
322076647715,42,M,3700.00,SP,21.0000,80,2022-09-09,68,35000.00,40250.00,5,4,1,0,SOLTEIRO(A),NULL,N,0.00,9,251,40289.79,2715.65,Sim
322076648715,44,M,3100.00,PA,17.0000,140,2022-09-09,143,160000.00,184000.00,8,6,2,2,SOLTEIRO(A),NULL,N,0.00,6,162,182745.65,6233.55,Sim
322076649715,38,M,5400.00,MG,19.0000,190,2022-09-09,227,200000.00,230000.00,3,3,0,1,DIVORCIADO,Nenhum,N,0.00,11,315,238575.35,2330.76,Sim
322076650715,47,F,2500.00,SP,21.0000,45,2022-09-09,33,15000.00,17250.00,14,2,2,1,SOLTEIRO(A),NULL,N,0.00,0,NULL,12718.87,5810.78,Nao
322076655715,32,F,3000.00,RJ,20.0000,200,2022-09-09,227,180000.00,207000.00,14,14,0,1,SOLTEIRO(A),Ensino Superior,N,0.00,0,NULL,208372.59,9976.95,Nao
322076663715,45,F,2000.00,MS,20.0000,100,2022-09-09,91,40000.00,46000.00,2,1,1,3,SOLTEIRO(A),Nenhum,N,0.00,12,344,47206.87,1488.03,Sim
322076664715,36,M,3000.00,MG,21.0000,60,2022-09-13,60,50000.00,57500.00,10,3,6,2,OUTRO,Nenhum,N,0.00,4,103,40475.78,21002.99,Nao
322076670715,22,M,1600.00,MG,20.0000,100,2022-09-09,91,40000.00,46000.00,14,13,0,0,SOLTEIRO(A),Nenhum,N,0.00,0,NULL,41624.02,6798.31,Nao
322076674715,53,F,3800.00,SP,22.0000,80,2022-09-09,68,30000.00,34500.00,14,5,2,2,CASADO (A),NULL,N,0.00,0,NULL,33069.33,3934.91,Nao
322076676715,26,M,3500.00,RJ,18.0000,80,2022-09-09,91,50000.00,57500.00,12,8,3,2,SOLTEIRO(A),Nenhum,N,0.00,0,NULL,30098.29,29514.27,Nao
